miRNA,1270_ATCACG_L004_R1_001.fastq,1271_CGATGT_L004_R1_001.fastq,1272_TTAGGC_L004_R1_001.fastq
hsa-miR-12136,105.687215577,122.3937775,122.206833214
hsa-miR-122-3p,461.60445627,445.79579728,476.32890673
hsa-miR-122-5p,139099.917937,86831.7947023,81720.2648555
hsa-miR-1224-3p,0.0,0.0,0.0
hsa-miR-1224-5p,0.0,0.0,0.0
hsa-miR-1225-3p,0.0,0.0,0.0
hsa-miR-1225-5p,0.0,0.0,0.0
hsa-miR-1226-3p,15.5422375849,0.0,6.94357006895
hsa-miR-1226-5p,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,0.0,0.0
hsa-miR-1227-5p,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,4.2367076827,4.16614204137
hsa-miR-1228-5p,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,4.70745298078,4.62904671264
hsa-miR-1229-5p,0.0,0.0,0.0
hsa-miR-1229-5p.SNPB,0.0,0.0,0.0
hsa-miR-122b-3p,0.0,2.82447178847,7.86937941148
hsa-miR-122b-5p,9.32534255092,16.0053401347,13.4242354666
hsa-miR-1231-3p,0.0,0.0,0.0
hsa-miR-1231-5p,0.0,0.0,0.0
hsa-miR-1233-3p,0.0,0.0,0.0
hsa-miR-1233-5p,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0
hsa-miR-1236-3p,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0
hsa-miR-1237-3p,0.0,14.1223589423,0.0
hsa-miR-1237-5p,0.0,0.0,0.0
hsa-miR-1238-3p,0.0,0.0,0.0
hsa-miR-1238-5p,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0
hsa-miR-124-5p,0.0,0.0,0.0
hsa-miR-1243,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0
hsa-miR-1245a,0.0,0.0,0.0
hsa-miR-1245b-3p,0.0,0.0,0.0
hsa-miR-1245b-5p,0.0,0.0,0.0
hsa-miR-1246,0.0,12.7101230481,0.0
hsa-miR-1247-3p,0.0,0.0,0.0
hsa-miR-1247-5p,111.904110611,0.0,0.0
hsa-miR-1248,0.0,0.0,3.24033269885
hsa-miR-1249-3p,63.7231740979,24.4787555001,21.7565195494
hsa-miR-1249-5p,0.0,0.0,0.0
hsa-miR-1250-3p,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,0.0,0.0
hsa-miR-1251-3p,0.0,0.0,0.0
hsa-miR-1251-5p,0.0,0.0,0.0
hsa-miR-1252-3p,0.0,0.0,0.0
hsa-miR-1252-5p,0.0,0.0,0.0
hsa-miR-1253,0.0,0.0,0.0
hsa-miR-1255a,7.77111879243,4.70745298078,11.5726167816
hsa-miR-1255b-2-3p,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0
hsa-miR-1256-3p,9.32534255092,0.0,4.16614204137
hsa-miR-1256-5p,0.0,0.0,0.0
hsa-miR-1257,0.0,0.0,0.0
hsa-miR-1258,15.5422375849,0.0,0.0
hsa-miR-125a-3p,0.0,8.94416066349,8.79518875401
hsa-miR-125a-5p,502.014273991,387.423380318,332.828458639
hsa-miR-125b-1-3p,163.193494641,122.3937775,127.761689269
hsa-miR-125b-2-3p,668.316216149,628.915718233,583.722790463
hsa-miR-125b-5p,2116.85275906,2264.28488376,1954.84642675
hsa-miR-126-3p,248.675801358,299.864754876,385.136686491
hsa-miR-126-5p,786.437221794,1783.18318912,1882.63329803
hsa-miR-1260a/1260b,247.121577599,130.396447568,137.482687365
hsa-miR-1261,0.0,0.0,0.0
hsa-miR-1262,0.0,21.1835384135,0.0
hsa-miR-1263-3p,0.0,0.0,0.0
hsa-miR-1263-5p,0.0,0.0,0.0
hsa-miR-1264,0.0,0.0,0.0
hsa-miR-1265-3p,0.0,0.0,0.0
hsa-miR-1265-5p,0.0,0.0,0.0
hsa-miR-1266-3p,0.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,27.7742802758
hsa-miR-1267,0.0,0.0,0.0
hsa-miR-1268a/1268b,82.3738591998,28.2447178847,22.6823288919
hsa-miR-1269a-3p,26.4218038943,10.3563965577,15.2758541517
hsa-miR-1269a-5p,0.0,0.0,0.0
hsa-miR-1269b,0.0,5.17819827886,7.40647474022
hsa-miR-127-3p,82.3738591998,57.9016716636,61.1034166068
hsa-miR-127-5p,0.0,0.0,0.0
hsa-miR-1270-3p,0.0,0.0,0.0
hsa-miR-1270-5p,29.5302514112,0.0,0.0
hsa-miR-1271-3p,0.0,0.0,0.0
hsa-miR-1271-5p,7.77111879243,15.0638495385,9.72099809654
hsa-miR-1272,0.0,0.0,0.0
hsa-miR-1273c,0.0,0.0,0.0
hsa-miR-1273h-3p,6.21689503394,6.11968887502,7.86937941148
hsa-miR-1273h-5p,0.0,0.0,0.0
hsa-miR-1275,211.374431154,72.9655212021,115.726167816
hsa-miR-1276,20.2049088603,27.7739725866,15.738758823
hsa-miR-1277-3p,0.0,0.0,0.0
hsa-miR-1277-5p,0.0,17.888321327,15.2758541517
hsa-miR-1278,0.0,0.0,3.70323737011
hsa-miR-1279,0.0,0.0,0.0
hsa-miR-128-1-5p,119.675229403,74.8485023944,62.4921306206
hsa-miR-128-2-5p,15.5422375849,0.0,3.70323737011
hsa-miR-128-3p,1123.70377739,1305.37671157,1318.35250376
hsa-miR-1281,0.0,0.0,0.0
hsa-miR-1282,0.0,0.0,0.0
hsa-miR-1283,0.0,0.0,0.0
hsa-miR-1284-3p,0.0,0.0,4.62904671264
hsa-miR-1284-5p,0.0,6.11968887502,3.70323737011
hsa-miR-1285-3p,31.0844751697,12.7101230481,13.8871401379
hsa-miR-1285-5p,0.0,0.0,0.0
hsa-miR-1286-3p,31.0844751697,24.4787555001,21.7565195494
hsa-miR-1286-5p,0.0,0.0,0.0
hsa-miR-1287-3p,0.0,0.0,0.0
hsa-miR-1287-5p,0.0,0.0,34.7178503448
hsa-miR-1288-3p,0.0,0.0,0.0
hsa-miR-1288-5p,0.0,0.0,0.0
hsa-miR-1289-3p,0.0,0.0,0.0
hsa-miR-1289-5p,0.0,0.0,0.0
hsa-miR-129-1-3p/129-2-3p,0.0,0.0,0.0
hsa-miR-129-5p,0.0,0.0,0.0
hsa-miR-1290,0.0,0.0,0.0
hsa-miR-1291,0.0,0.0,0.0
hsa-miR-1292-3p,0.0,0.0,0.0
hsa-miR-1292-5p,0.0,0.0,0.0
hsa-miR-1293-3p,12.4337900679,11.2978871539,9.72099809654
hsa-miR-1293-5p,31.0844751697,0.0,21.7565195494
hsa-miR-1294-3p,0.0,0.0,0.0
hsa-miR-1294-5p,17.0964613433,5.17819827886,8.79518875401
hsa-miR-1295a,0.0,0.0,0.0
hsa-miR-1295b-3p,0.0,0.0,0.0
hsa-miR-1295b-5p,10.8795663094,11.2978871539,13.4242354666
hsa-miR-1296-3p,0.0,0.0,0.0
hsa-miR-1296-5p,23.3133563773,17.4175760289,22.2194242207
hsa-miR-1297,0.0,0.0,0.0
hsa-miR-1298-3p,0.0,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.0
hsa-miR-1299,29.5302514112,19.7713025193,27.7742802758
hsa-miR-1301-3p,87.0365304752,44.2500580194,37.4952783724
hsa-miR-1301-5p,0.0,0.0,0.0
hsa-miR-1302-3p,0.0,0.0,0.0
hsa-miR-1302-5p,0.0,0.0,0.0
hsa-miR-1303-3p,55.9520553055,23.5372649039,32.8662316597
hsa-miR-1303-5p,0.0,0.0,0.0
hsa-miR-1304-3p,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.0,0.0
hsa-miR-1305-3p,0.0,0.0,0.0
hsa-miR-1305-5p,0.0,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.0
hsa-miR-1306-5p,35.7471464452,14.1223589423,8.79518875401
hsa-miR-1307-3p,851.71461965,500.402251857,539.283942022
hsa-miR-1307-5p,517.556511576,1225.8207562,1298.44760289
hsa-miR-130a-3p,275.097605252,289.979103616,350.418836147
hsa-miR-130a-5p,0.0,0.0,2.77742802758
hsa-miR-130b-3p,212.928654913,207.127931154,201.826436671
hsa-miR-130b-5p,105.687215577,87.0878801445,92.5809342527
hsa-miR-132-3p,31.0844751697,26.8324819905,31.4775176459
hsa-miR-132-5p,0.0,0.0,9.72099809654
hsa-miR-1321,0.0,0.0,0.0
hsa-miR-1322,0.0,0.0,0.0
hsa-miR-1323,0.0,0.0,0.0
hsa-miR-1324,0.0,0.0,0.0
hsa-miR-133a-3p/133b,6.21689503394,0.0,9.25809342527
hsa-miR-133a-5p,0.0,0.0,0.0
hsa-miR-134-3p,0.0,0.0,0.0
hsa-miR-134-5p,0.0,5.64894357694,0.0
hsa-miR-1343-3p,10.8795663094,7.06117947117,8.33228408275
hsa-miR-1343-5p,0.0,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0
hsa-miR-135a-3p,0.0,0.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.0
hsa-miR-135b-3p,0.0,0.0,0.0
hsa-miR-135b-5p,0.0,0.0,12.0355214529
hsa-miR-136-3p,0.0,4.70745298078,5.0919513839
hsa-miR-136-5p,0.0,0.0,6.94357006895
hsa-miR-137-3p,0.0,0.0,0.0
hsa-miR-137-5p,27.9760276527,0.0,0.0
hsa-miR-138-1-3p,0.0,7.06117947117,3.70323737011
hsa-miR-138-2-3p,0.0,0.0,0.0
hsa-miR-138-5p,15.5422375849,17.4175760289,24.533947577
hsa-miR-139-3p,0.0,0.0,0.0
hsa-miR-139-5p,10.8795663094,4.2367076827,4.16614204137
hsa-miR-140-3p,327.941213041,445.79579728,470.774050675
hsa-miR-140-5p,31.0844751697,50.3697468944,35.6436596873
hsa-miR-141-3p,27.9760276527,42.8378221251,38.8839923861
hsa-miR-141-5p,0.0,0.0,0.0
hsa-miR-142-3p,51.28938403,146.872533,162.016634942
hsa-miR-142-5p,1137.69179121,3396.89807093,3266.25536044
hsa-miR-143-3p,77.7111879243,47.0745298078,103.690646363
hsa-miR-143-5p,0.0,0.0,0.0
hsa-miR-144-3p,0.0,0.0,0.0
hsa-miR-144-5p,0.0,2.35372649039,0.0
hsa-miR-145-3p,0.0,0.0,0.0
hsa-miR-145-5p,0.0,0.0,0.0
hsa-miR-1468-3p,0.0,0.0,0.0
hsa-miR-1468-5p,301.519409146,124.276758693,152.758541517
hsa-miR-1469,0.0,0.0,0.0
hsa-miR-146a-3p,0.0,0.0,0.0
hsa-miR-146a-5p,937.196926367,709.883909502,743.424902049
hsa-miR-146b-3p,505.122721508,321.048293289,321.255841857
hsa-miR-146b-5p,21440.5167483,28141.6246644,23741.9176844
hsa-miR-1470,0.0,0.0,0.0
hsa-miR-1471,0.0,0.0,0.0
hsa-miR-147a,0.0,0.0,0.0
hsa-miR-147b-3p,0.0,21.1835384135,21.7565195494
hsa-miR-147b-5p,0.0,0.0,0.0
hsa-miR-148a-3p,18195.2975406,43863.5761296,47874.9898161
hsa-miR-148a-5p,303.073632905,554.067215838,540.672656036
hsa-miR-148b-3p,0.0,1469.1960753,1474.81428265
hsa-miR-148b-5p,34.1929226867,77.2022288848,72.2131287171
hsa-miR-149-3p,0.0,2.35372649039,0.0
hsa-miR-149-5p,24.8675801358,20.2420478174,30.5517083034
hsa-miR-150-3p,46.6267127546,0.0,18.0532821793
hsa-miR-150-5p,472.48402258,324.343510376,343.475266078
hsa-miR-151a-3p,6561.93270833,6374.83282658,6636.66427191
hsa-miR-151a-5p/151b,3741.01658668,3988.62491062,3654.63237963
hsa-miR-152-3p,301.519409146,313.045623222,332.365553967
hsa-miR-152-5p,29.5302514112,39.5426050386,45.3646577838
hsa-miR-153-3p,0.0,3.29521708655,0.0
hsa-miR-153-5p,0.0,0.0,0.0
hsa-miR-1537-3p,0.0,1.88298119231,0.0
hsa-miR-1537-5p,0.0,0.0,0.0
hsa-miR-1538,0.0,0.0,15.2758541517
hsa-miR-1539,0.0,0.0,0.0
hsa-miR-154-3p,0.0,0.0,0.0
hsa-miR-154-5p,0.0,0.0,0.0
hsa-miR-155-3p,0.0,0.0,0.0
hsa-miR-155-5p,1038.22147067,498.519270665,542.987179392
hsa-miR-1587,0.0,0.0,0.0
hsa-miR-15a-3p,0.0,0.0,0.0
hsa-miR-15a-5p,163.193494641,311.633387328,322.644555871
hsa-miR-15b-3p,37.3013702037,30.127699077,20.8307102069
hsa-miR-15b-5p,289.085619078,245.729045597,257.837901894
hsa-miR-16-1-3p,0.0,0.0,7.86937941148
hsa-miR-16-2-3p,80.8196354413,60.7261434521,67.5840820045
hsa-miR-16-5p,4284.99490215,6669.99012847,7313.43090129
hsa-miR-17-3p,40.4098177206,48.016020404,61.1034166068
hsa-miR-181a-2-3p,310.844751697,250.907243876,256.912092551
hsa-miR-181a-3p,41.9640414791,38.6011144424,44.9017531126
hsa-miR-181a-5p,9757.41675578,6693.99813867,6638.51589059
hsa-miR-181b-2-3p,0.0,0.0,0.0
hsa-miR-181b-3p,0.0,3.76596238463,0.0
hsa-miR-181b-5p,1142.35446249,579.487461934,697.597339594
hsa-miR-181c-3p,0.0,19.7713025193,19.9049008643
hsa-miR-181c-5p,113.458334369,153.933712472,145.352066777
hsa-miR-181d-3p,0.0,0.0,0.0
hsa-miR-181d-5p,31.0844751697,27.7739725866,27.7742802758
hsa-miR-182-3p,0.0,0.0,0.0
hsa-miR-182-5p,1246.48745431,1243.70907752,1218.82799944
hsa-miR-1825,0.0,0.0,0.0
hsa-miR-1827,0.0,0.0,0.0
hsa-miR-183-3p,0.0,0.0,6.48066539769
hsa-miR-183-5p,216.03710243,165.231599625,128.687498611
hsa-miR-184,0.0,10.8271418558,26.8484709333
hsa-miR-1843,74.6027404073,40.4840956347,41.1985157425
hsa-miR-185-3p,29.5302514112,13.1808683462,22.2194242207
hsa-miR-185-5p,27.9760276527,28.2447178847,29.1629942896
hsa-miR-186-3p,0.0,0.0,0.0
hsa-miR-186-5p,3683.51030761,6043.42813673,6154.78050912
hsa-miR-187-3p,0.0,0.0,8.33228408275
hsa-miR-187-5p,0.0,0.0,0.0
hsa-miR-188-3p,0.0,4.2367076827,0.0
hsa-miR-188-5p,0.0,6.11968887502,6.94357006895
hsa-miR-18a-3p,71.4942928904,37.6596238463,56.9372745654
hsa-miR-18a-5p,34.1929226867,25.4202460962,23.1452335632
hsa-miR-18b-3p,0.0,0.0,0.0
hsa-miR-18b-5p,0.0,1.41223589423,0.0
hsa-miR-1908-3p,102.57876806,30.5984443751,25.4597569195
hsa-miR-1908-5p,35.7471464452,16.4760854327,10.1839027678
hsa-miR-1909-3p,0.0,0.0,0.0
hsa-miR-1909-5p,0.0,0.0,0.0
hsa-miR-190a-3p,0.0,0.0,1.85161868505
hsa-miR-190a-5p,0.0,12.7101230481,5.55485605516
hsa-miR-190b-3p,0.0,0.0,0.0
hsa-miR-190b-5p,0.0,26.8324819905,22.2194242207
hsa-miR-191-3p,49.7351602716,34.3644067597,32.8662316597
hsa-miR-191-5p,27135.1925994,27830.9327677,23242.9064488
hsa-miR-1910-3p,0.0,0.0,0.0
hsa-miR-1910-5p,26.4218038943,8.94416066349,10.1839027678
hsa-miR-1911-3p,0.0,0.0,0.0
hsa-miR-1911-5p,0.0,0.0,0.0
hsa-miR-1912-3p,0.0,0.0,0.0
hsa-miR-1912-5p,0.0,0.0,0.0
hsa-miR-1913-3p,0.0,0.0,0.0
hsa-miR-1913-5p,0.0,0.0,0.0
hsa-miR-1914-3p,0.0,0.0,0.0
hsa-miR-1914-5p,0.0,0.0,0.0
hsa-miR-1915-3p,0.0,0.0,0.0
hsa-miR-1915-5p,0.0,0.0,0.0
hsa-miR-192-3p,20.2049088603,19.3005572212,23.6081382344
hsa-miR-192-5p/215-5p,89445.5773009,181384.283038,174712.721361
hsa-miR-193a-3p,0.0,15.5345948366,14.3500448092
hsa-miR-193a-5p,475.592470097,173.705014991,160.627920928
hsa-miR-193b-3p,565.737448089,406.72393754,394.857684588
hsa-miR-193b-5p,60.614726581,27.3032272885,32.8662316597
hsa-miR-194-3p,74.6027404073,41.4255862309,35.6436596873
hsa-miR-194-5p,1420.56051526,3275.44578403,3319.48939763
hsa-miR-195-3p,15.5422375849,16.9468307308,11.5726167816
hsa-miR-195-5p,20.2049088603,42.8378221251,35.180755016
hsa-miR-196a-1-3p,0.0,0.0,0.0
hsa-miR-196a-3p,0.0,0.0,0.0
hsa-miR-196a-5p,0.0,0.0,0.0
hsa-miR-196b-3p,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,0.0,0.0
hsa-miR-197-3p,383.893268346,183.119920952,168.49730034
hsa-miR-197-5p,0.0,6.11968887502,8.79518875401
hsa-miR-1972,0.0,0.0,6.94357006895
hsa-miR-1973,0.0,0.0,0.0
hsa-miR-1976,24.8675801358,14.1223589423,10.1839027678
hsa-miR-198,0.0,0.0,0.0
hsa-miR-199a-3p/199b-3p,83.9280829582,65.4335964329,117.577786501
hsa-miR-199a-5p,0.0,0.0,0.0
hsa-miR-199b-5p,0.0,0.0,0.0
hsa-miR-19a-3p,29.5302514112,184.061411549,193.031247917
hsa-miR-19a-5p,0.0,8.47341536541,3.24033269885
hsa-miR-19b-1-5p,0.0,0.0,0.0
hsa-miR-19b-2-5p,0.0,0.0,0.0
hsa-miR-19b-3p,85.4823067167,472.157533973,483.73538147
hsa-miR-200a-3p,24.8675801358,50.8404921925,60.1776072643
hsa-miR-200a-5p,0.0,0.0,0.0
hsa-miR-200b-3p,565.737448089,537.120385107,636.031018316
hsa-miR-200b-5p,21.7591326188,10.3563965577,0.0
hsa-miR-200c-3p,0.0,0.0,0.0
hsa-miR-200c-5p,0.0,0.0,0.0
hsa-miR-202-3p,0.0,0.0,0.0
hsa-miR-202-5p,0.0,0.0,0.0
hsa-miR-203a-3p,217.591326188,344.114812895,360.139834243
hsa-miR-203a-5p,0.0,0.0,0.0
hsa-miR-203b-3p,0.0,5.64894357694,6.01776072643
hsa-miR-203b-5p,0.0,0.0,0.0
hsa-miR-204-3p,0.0,0.0,0.0
hsa-miR-204-5p,206.711759879,126.630485183,135.63106868
hsa-miR-205-3p,0.0,0.0,0.0
hsa-miR-205-5p,0.0,0.0,2.31452335632
hsa-miR-2052,0.0,0.0,0.0
hsa-miR-2053,0.0,0.0,0.0
hsa-miR-2054,0.0,0.0,0.0
hsa-miR-206,0.0,0.0,0.0
hsa-miR-208a-3p,0.0,0.0,0.0
hsa-miR-208a-5p,0.0,0.0,0.0
hsa-miR-208b-3p,0.0,0.0,0.0
hsa-miR-208b-5p,0.0,0.0,0.0
hsa-miR-20a-3p,0.0,12.23937775,7.40647474022
hsa-miR-20a-5p,118.121005645,232.548177251,225.434574905
hsa-miR-20b-3p,0.0,0.0,0.0
hsa-miR-20b-5p,0.0,0.0,0.0
hsa-miR-21-3p,2295.58849128,6175.70756549,6222.36459113
hsa-miR-21-5p,33451.5579539,80039.4107964,83256.6454595
hsa-miR-210-3p,144.542809539,228.782214866,230.526526289
hsa-miR-210-5p,156.976599607,54.135709279,68.9727960183
hsa-miR-211-3p,0.0,0.0,0.0
hsa-miR-211-5p,0.0,0.0,0.0
hsa-miR-2110,63.7231740979,19.7713025193,19.9049008643
hsa-miR-2113-3p,0.0,0.0,0.0
hsa-miR-2113-5p,0.0,0.0,0.0
hsa-miR-2114-3p,0.0,0.0,0.0
hsa-miR-2114-5p,0.0,0.0,0.0
hsa-miR-2115-3p,0.0,0.0,0.0
hsa-miR-2115-5p,0.0,0.0,0.0
hsa-miR-2116-3p,83.9280829582,49.4282562982,47.2162764689
hsa-miR-2116-5p,0.0,15.5345948366,10.1839027678
hsa-miR-2117-3p,0.0,0.0,0.0
hsa-miR-2117-5p,0.0,0.0,0.0
hsa-miR-212-3p,21.7591326188,11.2978871539,12.0355214529
hsa-miR-212-5p,0.0,8.47341536541,7.86937941148
hsa-miR-214-3p,9.32534255092,0.0,4.16614204137
hsa-miR-214-5p,0.0,0.0,0.0
hsa-miR-215-3p,0.0,0.0,0.0
hsa-miR-216a-3p,0.0,7.06117947117,12.4984261241
hsa-miR-216a-5p,0.0,2.35372649039,4.62904671264
hsa-miR-216b-3p,0.0,0.0,0.0
hsa-miR-216b-5p,0.0,3.29521708655,6.01776072643
hsa-miR-217-3p,0.0,0.0,0.0
hsa-miR-217-5p,0.0,0.0,3.70323737011
hsa-miR-218-1-3p,0.0,0.0,0.0
hsa-miR-218-2-3p,0.0,0.0,0.0
hsa-miR-218-5p,18.6506851018,35.3058973559,41.6614204137
hsa-miR-219a-1-3p,45.0724889961,17.4175760289,19.9049008643
hsa-miR-219a-2-3p,0.0,0.0,0.0
hsa-miR-219a-5p,0.0,0.0,0.0
hsa-miR-219b-3p,0.0,0.0,0.0
hsa-miR-219b-5p,0.0,0.0,0.0
hsa-miR-22-3p,175286.909706,135726.696578,143243.998904
hsa-miR-22-5p,21.7591326188,37.6596238463,37.0323737011
hsa-miR-221-3p,1443.87387163,1287.01764495,1233.17804425
hsa-miR-221-5p,41.9640414791,58.8431622598,43.97594377
hsa-miR-222-3p,8147.24094198,5152.77803276,5559.94800655
hsa-miR-222-5p,0.0,26.8324819905,20.3678055356
hsa-miR-223-3p,20.2049088603,49.4282562982,55.0856558804
hsa-miR-223-5p,0.0,0.0,0.0
hsa-miR-224-3p,0.0,0.0,7.40647474022
hsa-miR-224-5p,244.013130082,161.465637241,149.055304147
hsa-miR-2276-3p,0.0,0.0,0.0
